DATE,CPIAUCSL_PC1
2020-01-01,2.50042
2020-02-01,2.33932
2020-03-01,1.54287
2020-04-01,0.34520
2020-05-01,0.22641
2020-06-01,0.71602
2020-07-01,1.01414
2020-08-01,1.30907
2020-09-01,1.37148
2020-10-01,1.18253
2020-11-01,1.16756
2020-12-01,1.32204
2021-01-01,1.39478
2021-02-01,1.69336
2021-03-01,2.63052
2021-04-01,4.13055
2021-05-01,4.91503
2021-06-01,5.28161
2021-07-01,5.22151
2021-08-01,5.18829
2021-09-01,5.38363
2021-10-01,6.23775
2021-11-01,6.86239
2021-12-01,7.19446
2022-01-01,7.59528
2022-02-01,7.95485
2022-03-01,8.51522
2022-04-01,8.22777
2022-05-01,8.50233
2022-06-01,8.93299
2022-07-01,8.41318
2022-08-01,8.22736
2022-09-01,8.21485
2022-10-01,7.76249
2022-11-01,7.13535
2022-12-01,6.44494
2023-01-01,6.34716
2023-02-01,5.98644
2023-03-01,4.98692
2023-04-01,4.95719
2023-05-01,4.12884
2023-06-01,3.09200
2023-07-01,3.29908
2023-08-01,3.70750
2023-09-01,3.68990
2023-10-01,3.23236
2023-11-01,3.12092
2023-12-01,3.29777
