DATE,PCEPI_CH1
1960-01-01,0.272
1960-02-01,0.274
1960-03-01,0.272
1960-04-01,0.3
1960-05-01,0.308
1960-06-01,0.269
1960-07-01,0.264
1960-08-01,0.269
1960-09-01,0.236
1960-10-01,0.216
1960-11-01,0.261
1960-12-01,0.246
1961-01-01,0.257
1961-02-01,0.256
1961-03-01,0.238
1961-04-01,0.168
1961-05-01,0.160
1961-06-01,0.161
1961-07-01,0.168
1961-08-01,0.154
1961-09-01,0.163
1961-10-01,0.142
1961-11-01,0.088
1961-12-01,0.089
1962-01-01,0.118
1962-02-01,0.147
1962-03-01,0.178
1962-04-01,0.207
1962-05-01,0.209
1962-06-01,0.211
1962-07-01,0.166
1962-08-01,0.176
1962-09-01,0.240
1962-10-01,0.224
1962-11-01,0.236
1962-12-01,0.224
1963-01-01,0.234
1963-02-01,0.207
1963-03-01,0.172
1963-04-01,0.152
1963-05-01,0.168
1963-06-01,0.195
1963-07-01,0.238
1963-08-01,0.237
1963-09-01,0.150
1963-10-01,0.202
1963-11-01,0.213
1963-12-01,0.245
1964-01-01,0.240
1964-02-01,0.247
1964-03-01,0.270
1964-04-01,0.284
1964-05-01,0.259
1964-06-01,0.246
1964-07-01,0.234
1964-08-01,0.225
1964-09-01,0.255
1964-10-01,0.232
1964-11-01,0.232
1964-12-01,0.232
1965-01-01,0.215
1965-02-01,0.197
1965-03-01,0.210
1965-04-01,0.224
1965-05-01,0.261
1965-06-01,0.288
1965-07-01,0.279
1965-08-01,0.269
1965-09-01,0.251
1965-10-01,0.246
1965-11-01,0.251
1965-12-01,0.290
1966-01-01,0.292
1966-02-01,0.358
1966-03-01,0.378
1966-04-01,0.413
1966-05-01,0.396
1966-06-01,0.390
1966-07-01,0.411
1966-08-01,0.476
1966-09-01,0.525
1966-10-01,0.567
1966-11-01,0.565
1966-12-01,0.538
1967-01-01,0.518
1967-02-01,0.466
1967-03-01,0.434
1967-04-01,0.401
1967-05-01,0.415
1967-06-01,0.428
1967-07-01,0.456
1967-08-01,0.445
1967-09-01,0.444
1967-10-01,0.447
1967-11-01,0.482
1967-12-01,0.474
1968-01-01,0.560
1968-02-01,0.615
1968-03-01,0.666
1968-04-01,0.696
1968-05-01,0.730
1968-06-01,0.732
1968-07-01,0.729
1968-08-01,0.749
1968-09-01,0.760
1968-10-01,0.794
1968-11-01,0.798
1968-12-01,0.809
1969-01-01,0.798
1969-02-01,0.771
1969-03-01,0.801
1969-04-01,0.829
1969-05-01,0.839
1969-06-01,0.875
1969-07-01,0.903
1969-08-01,0.881
1969-09-01,0.897
1969-10-01,0.881
1969-11-01,0.902
1969-12-01,0.956
1970-01-01,0.953
1970-02-01,0.985
1970-03-01,0.944
1970-04-01,0.962
1970-05-01,0.948
1970-06-01,0.906
1970-07-01,0.895
1970-08-01,0.894
1970-09-01,0.905
1970-10-01,0.940
1970-11-01,0.937
1970-12-01,0.937
1971-01-01,0.909
1971-02-01,0.891
1971-03-01,0.911
1971-04-01,0.890
1971-05-01,0.915
1971-06-01,0.957
1971-07-01,0.947
1971-08-01,0.955
1971-09-01,0.894
1971-10-01,0.824
1971-11-01,0.785
1971-12-01,0.778
1972-01-01,0.824
1972-02-01,0.848
1972-03-01,0.809
1972-04-01,0.760
1972-05-01,0.717
1972-06-01,0.656
1972-07-01,0.670
1972-08-01,0.673
1972-09-01,0.741
1972-10-01,0.732
1972-11-01,0.755
1972-12-01,0.741
1973-01-01,0.719
1973-02-01,0.753
1973-03-01,0.884
1973-04-01,1.022
1973-05-01,1.089
1973-06-01,1.189
1973-07-01,1.195
1973-08-01,1.402
1973-09-01,1.397
1973-10-01,1.508
1973-11-01,1.639
1973-12-01,1.767
1974-01-01,1.934
1974-02-01,2.103
1974-03-01,2.232
1974-04-01,2.239
