DATE,PCEPILFE_PC1
2020-01-01,1.55232
2020-02-01,1.65600
2020-03-01,1.49152
2020-04-01,0.93247
2020-05-01,0.95085
2020-06-01,0.90842
2020-07-01,1.16387
2020-08-01,1.36594
2020-09-01,1.44481
2020-10-01,1.36668
2020-11-01,1.42794
2020-12-01,1.55352
2021-01-01,1.71524
2021-02-01,1.75323
2021-03-01,2.25556
2021-04-01,3.22055
2021-05-01,3.64398
2021-06-01,3.94922
2021-07-01,4.00999
2021-08-01,4.01885
2021-09-01,4.07439
2021-10-01,4.50081
2021-11-01,4.95111
2021-12-01,5.23801
2022-01-01,5.36949
2022-02-01,5.57470
2022-03-01,5.54958
2022-04-01,5.25494
2022-05-01,5.07456
2022-06-01,5.19258
2022-07-01,4.96151
2022-08-01,5.20748
2022-09-01,5.47208
2022-10-01,5.32586
2022-11-01,5.09036
2022-12-01,4.86514
2023-01-01,4.90118
2023-02-01,4.84453
2023-03-01,4.78296
2023-04-01,4.76300
2023-05-01,4.68783
2023-06-01,4.28008
2023-07-01,4.18915
2023-08-01,3.72618
2023-09-01,3.59248
2023-10-01,3.38798
2023-11-01,3.15504
